Record_ID,Bill Number,Notecard,Process Tag,Date,Day of Legislature,sheet_name
0,HB 267,"No Bargaining, Just Begging",Rules 1,,0,bad_bills_daily_update
1,HB 267,"No Bargaining, Just Begging",Committee 1,,0,bad_bills_daily_update
2,HB 267,"No Bargaining, Just Begging",Floor Vote 1.1,2025-01-23,3,bad_bills_daily_update
3,HB 267,"No Bargaining, Just Begging",Floor Vote 1.2,,0,bad_bills_daily_update
4,HB 267,"No Bargaining, Just Begging",Floor Vote 1.3,,0,bad_bills_daily_update
5,HB 267,"No Bargaining, Just Begging",Rules 2,,0,bad_bills_daily_update
6,HB 267,"No Bargaining, Just Begging",Committee 2,2025-01-27,7,bad_bills_daily_update
7,HB 267,"No Bargaining, Just Begging",Floor Vote 2.1,2025-01-30,10,bad_bills_daily_update
8,HB 267,"No Bargaining, Just Begging",Floor Vote 2.2,,0,bad_bills_daily_update
9,HB 267,"No Bargaining, Just Begging",Floor Vote 2.3,2025-02-04,15,bad_bills_daily_update
10,HB 267,"No Bargaining, Just Begging",Governor,2025-02-06,17,bad_bills_daily_update
11,HB 267,"No Bargaining, Just Begging",Bill Passed,2025-02-14,25,bad_bills_daily_update
12,HB 269,Separate but Unequal Dorms,Rules 1,,0,bad_bills_daily_update
13,HB 269,Separate but Unequal Dorms,Committee 1,,0,bad_bills_daily_update
14,HB 269,Separate but Unequal Dorms,Floor Vote 1.1,2025-01-23,3,bad_bills_daily_update
15,HB 269,Separate but Unequal Dorms,Floor Vote 1.2,,0,bad_bills_daily_update
16,HB 269,Separate but Unequal Dorms,Floor Vote 1.3,,0,bad_bills_daily_update
17,HB 269,Separate but Unequal Dorms,Rules 2,,0,bad_bills_daily_update
18,HB 269,Separate but Unequal Dorms,Committee 2,2025-01-28,8,bad_bills_daily_update
19,HB 269,Separate but Unequal Dorms,Floor Vote 2.1,2025-01-30,10,bad_bills_daily_update
20,HB 269,Separate but Unequal Dorms,Floor Vote 2.2,2025-02-05,16,bad_bills_daily_update
21,HB 269,Separate but Unequal Dorms,Floor Vote 2.3,,0,bad_bills_daily_update
22,HB 269,Separate but Unequal Dorms,Concurrance,2025-02-06,17,bad_bills_daily_update
23,HB 269,Separate but Unequal Dorms,Governor,2025-02-10,21,bad_bills_daily_update
24,HB 269,Separate but Unequal Dorms,Bill Passed,2025-02-14,25,bad_bills_daily_update
25,SJR 2,Good Luck Getting That Passed,Rules 1,2025-01-14,0,bad_bills_daily_update
26,SJR 2,Good Luck Getting That Passed,Committee 1,2025-01-29,9,bad_bills_daily_update
27,SJR 2,Good Luck Getting That Passed,Floor Vote 1.1,2025-01-30,10,bad_bills_daily_update
28,SJR 2,Good Luck Getting That Passed,Floor Vote 1.2,,0,bad_bills_daily_update
29,SJR 2,Good Luck Getting That Passed,Floor Vote 1.3,,0,bad_bills_daily_update
30,SJR 2,Good Luck Getting That Passed,Rules 2,2025-02-05,16,bad_bills_daily_update
31,SJR 2,Good Luck Getting That Passed,Committee 2,2025-02-14,25,bad_bills_daily_update
32,SB 127,One and Done Voting,Rules 1,,0,bad_bills_daily_update
33,SB 127,One and Done Voting,Committee 1,2025-01-30,10,bad_bills_daily_update
34,SB 127,One and Done Voting,Floor Vote 1.1,2025-02-12,23,bad_bills_daily_update
35,SB 127,One and Done Voting,Floor Vote 1.2,2025-02-21,32,bad_bills_daily_update
36,HB 81,Cavities for Freedom,Rules 1,,0,bad_bills_daily_update
37,HB 81,Cavities for Freedom,Committee 1,,0,bad_bills_daily_update
38,HB 81,Cavities for Freedom,Floor Vote 1.1,2025-01-30,10,bad_bills_daily_update
39,HB 81,Cavities for Freedom,Floor Vote 1.2,,0,bad_bills_daily_update
40,HB 81,Cavities for Freedom,Floor Vote 1.3,,0,bad_bills_daily_update
41,HB 81,Cavities for Freedom,Rules 2,2025-02-07,18,bad_bills_daily_update
42,HB 81,Cavities for Freedom,Committee 2,2025-02-11,22,bad_bills_daily_update
43,HB 81,Cavities for Freedom,Floor Vote 2.1,2025-02-13,24,bad_bills_daily_update
44,HB 81,Cavities for Freedom,Floor Vote 2.2,2025-02-20,31,bad_bills_daily_update
45,HB 81,Cavities for Freedom,Floor Vote 2.3,,0,bad_bills_daily_update
46,HB 81,Cavities for Freedom,Governor,2025-02-21,32,bad_bills_daily_update
47,HB 133,18 and Openly Armed,Rules 1,,0,bad_bills_daily_update
48,HB 133,18 and Openly Armed,Committee 1,2025-01-27,7,bad_bills_daily_update
49,HB 133,18 and Openly Armed,Floor Vote 1.1,2025-01-30,10,bad_bills_daily_update
50,HB 133,18 and Openly Armed,Floor Vote 1.2,,0,bad_bills_daily_update
51,HB 133,18 and Openly Armed,Floor Vote 1.3,,0,bad_bills_daily_update
52,HB 133,18 and Openly Armed,Rules 2,2025-02-05,16,bad_bills_daily_update
53,HB 133,18 and Openly Armed,Committee 2,2025-02-21,32,bad_bills_daily_update
54,HB 252,Misgender & Endanger,Rules 1,,0,bad_bills_daily_update
55,HB 252,Misgender & Endanger,Committee 1,,0,bad_bills_daily_update
56,HB 252,Misgender & Endanger,Floor Vote 1.1,2025-01-30,10,bad_bills_daily_update
57,HB 252,Misgender & Endanger,Floor Vote 1.2,,0,bad_bills_daily_update
58,HB 252,Misgender & Endanger,Floor Vote 1.3,,0,bad_bills_daily_update
59,HB 252,Misgender & Endanger,Rules 2,2025-02-03,14,bad_bills_daily_update
60,HB 252,Misgender & Endanger,Committee 2,2025-02-06,17,bad_bills_daily_update
61,HB 252,Misgender & Endanger,Floor Vote 2.1,2025-02-11,22,bad_bills_daily_update
62,HB 252,Misgender & Endanger,Floor Vote 2.2,,0,bad_bills_daily_update
63,HB 252,Misgender & Endanger,Floor Vote 2.3,,0,bad_bills_daily_update
64,HB 252,Misgender & Endanger,Governor,2025-02-20,31,bad_bills_daily_update
65,SB 73,Good Luck Getting That On The Ballot,Rules 1,,0,bad_bills_daily_update
66,SB 73,Good Luck Getting That On The Ballot,Committee 1,,0,bad_bills_daily_update
67,SB 73,Good Luck Getting That On The Ballot,Floor Vote 1.1,,0,bad_bills_daily_update
68,SB 73,Good Luck Getting That On The Ballot,Floor Vote 1.2,,0,bad_bills_daily_update
69,SB 73,Good Luck Getting That On The Ballot,Floor Vote 1.3,,0,bad_bills_daily_update
70,SB 73,Good Luck Getting That On The Ballot,Rules 2,,0,bad_bills_daily_update
71,SB 73,Good Luck Getting That On The Ballot,Committee 2,2025-01-30,10,bad_bills_daily_update
72,HB 300,DMV Lines for Democracy,Rules 1,2025-01-22,2,bad_bills_daily_update
73,HB 300,DMV Lines for Democracy,Committee 1,2025-01-30,10,bad_bills_daily_update
74,HB 300,DMV Lines for Democracy,Floor Vote 1.1,2025-02-05,16,bad_bills_daily_update
75,HB 300,DMV Lines for Democracy,Floor Vote 1.2,,0,bad_bills_daily_update
76,HB 300,DMV Lines for Democracy,Floor Vote 1.3,2025-02-11,22,bad_bills_daily_update
77,HB 77,No Rainbows Allowed,Rules 1,2025-01-30,10,bad_bills_daily_update
78,HB 77,No Rainbows Allowed,Committee 1,2025-02-03,14,bad_bills_daily_update
79,HB 77,No Rainbows Allowed,Floor Vote 1.1,2025-02-13,24,bad_bills_daily_update
80,HB 77,No Rainbows Allowed,Floor Vote 1.2,,0,bad_bills_daily_update
81,HB 77,No Rainbows Allowed,Floor Vote 1.3,,0,bad_bills_daily_update
82,HB 77,No Rainbows Allowed,Rules 2,2025-02-21,32,bad_bills_daily_update
83,HB 213,Make Voting Harder,Rules 1,2025-01-23,3,bad_bills_daily_update
84,SB 173,Free School Lunches,Rules 1,2025-02-03,14,bad_bills_daily_update
85,SB 173,Free School Lunches,Committee 1,2025-02-06,17,bad_bills_daily_update
86,SB 173,Free School Lunches,Graveyard,2025-02-13,24,bad_bills_daily_update
87,SB 122,Grocery Tax Removal,Rules 1,2025-01-21,1,bad_bills_daily_update
88,HB 248,Veterans Benefits Fraud Prevention,Rules 1,,0,bad_bills_daily_update
89,HB 248,Veterans Benefits Fraud Prevention,Committee 1,2025-02-03,14,bad_bills_daily_update
90,HB 248,Veterans Benefits Fraud Prevention,Floor Vote 1.1,2025-02-06,0,bad_bills_daily_update
91,HB 248,Veterans Benefits Fraud Prevention,Floor Vote 1.2,,0,bad_bills_daily_update
92,HB 248,Veterans Benefits Fraud Prevention,Floor Vote 1.3,,0,bad_bills_daily_update
93,HB 248,Veterans Benefits Fraud Prevention,Rules 2,2025-02-13,24,bad_bills_daily_update
94,HB 248,Veterans Benefits Fraud Prevention,Committee 2,2025-02-18,29,bad_bills_daily_update
95,HB 248,Veterans Benefits Fraud Prevention,Floor Vote 2.1,2025-02-21,32,bad_bills_daily_update
96,HB 266,Support for Homeless Veterans,Rules 1,,0,bad_bills_daily_update
97,HB 266,Support for Homeless Veterans,Committee 1,,0,bad_bills_daily_update
98,HB 266,Support for Homeless Veterans,Floor Vote 1.1,2025-02-03,14,bad_bills_daily_update
99,HB 266,Support for Homeless Veterans,Floor Vote 1.2,,0,bad_bills_daily_update
100,HB 266,Support for Homeless Veterans,Floor Vote 1.3,,0,bad_bills_daily_update
101,HB 266,Support for Homeless Veterans,Rules 2,2025-02-11,22,bad_bills_daily_update
102,HB 266,Support for Homeless Veterans,Committee 2,,0,bad_bills_daily_update
103,HB 266,Support for Homeless Veterans,Floor Vote 2.1,2025-02-18,29,bad_bills_daily_update
104,HB 266,Support for Homeless Veterans,Floor Vote 2.2,,0,bad_bills_daily_update
105,HB 266,Support for Homeless Veterans,Floor Vote 2.3,,0,bad_bills_daily_update
106,HB 266,Support for Homeless Veterans,Governor,2025-02-21,32,bad_bills_daily_update
107,HB 65,Firefighter Cancer Prevention and Coverage,Rules 1,2025-02-03,14,bad_bills_daily_update
108,HB 65,Firefighter Cancer Prevention and Coverage,Committee 1,,0,bad_bills_daily_update
109,HB 65,Firefighter Cancer Prevention and Coverage,Floor Vote 1.1,2025-02-06,17,bad_bills_daily_update
110,HB 65,Firefighter Cancer Prevention and Coverage,Floor Vote 1.2,,0,bad_bills_daily_update
111,HB 65,Firefighter Cancer Prevention and Coverage,Floor Vote 1.3,,0,bad_bills_daily_update
112,HB 65,Firefighter Cancer Prevention and Coverage,Rules 2,2025-02-18,29,bad_bills_daily_update
113,HB 65,Firefighter Cancer Prevention and Coverage,Committee 2,2025-02-21,32,bad_bills_daily_update
114,HB 101,Ballot Initiative Transparency & Accuracy,Rules 1,2025-01-21,1,bad_bills_daily_update
115,HB 132,Safe Firearm Storage Near Minors,Rules 1,2025-02-03,14,bad_bills_daily_update
116,HB 132,Safe Firearm Storage Near Minors,Graveyard,2025-02-14,25,bad_bills_daily_update
117,HB 143,Tax Credit for Firearm Safety,Rules 1,2025-02-03,14,bad_bills_daily_update
118,HB 143,Tax Credit for Firearm Safety,Committee 1,,0,bad_bills_daily_update
119,HB 143,Tax Credit for Firearm Safety,Floor Vote 1.1,,0,bad_bills_daily_update
120,HB 143,Tax Credit for Firearm Safety,Floor Vote 1.2,,0,bad_bills_daily_update
121,HB 143,Tax Credit for Firearm Safety,Floor Vote 1.3,2025-02-18,29,bad_bills_daily_update
122,HB 362,Homeless Bill of Rights,Rules 1,2025-02-03,14,bad_bills_daily_update
123,HB 362,Homeless Bill of Rights,Committee 1,2025-02-04,15,bad_bills_daily_update
124,HB 377,Silence is NOT Consent,Rules 1,2025-02-03,14,bad_bills_daily_update
125,HB 377,Silence is NOT Consent,Committee 1,2025-02-06,17,bad_bills_daily_update
126,HB 182,Rent Increase Notice and Transparency,Rules 1,,0,bad_bills_daily_update
127,HB 182,Rent Increase Notice and Transparency,Committee 1,2025-01-31,11,bad_bills_daily_update
128,HB 182,Rent Increase Notice and Transparency,Graveyard,2025-02-03,14,bad_bills_daily_update
129,HB 314,No Cost Breast Cancer Screening,Rules 1,2025-01-23,3,bad_bills_daily_update
130,HB 314,No Cost Breast Cancer Screening,Committee 1,2025-01-31,11,bad_bills_daily_update
131,HB 314,No Cost Breast Cancer Screening,Graveyard,2025-02-03,14,bad_bills_daily_update
132,HB 158,W.H.O. Do You Think You Are?,Rules 1,,0,bad_bills_daily_update
133,HB 158,W.H.O. Do You Think You Are?,Committee 1,,0,bad_bills_daily_update
134,HB 158,W.H.O. Do You Think You Are?,Floor Vote 1.1,2025-02-03,14,bad_bills_daily_update
135,HB 158,W.H.O. Do You Think You Are?,Floor Vote 1.2,,0,bad_bills_daily_update
136,HB 158,W.H.O. Do You Think You Are?,Floor Vote 1.3,,0,bad_bills_daily_update
137,HB 158,W.H.O. Do You Think You Are?,Rules 2,2025-02-10,21,bad_bills_daily_update
138,HB 369,"Diedre, You're Fired",Rules 1,2025-02-03,14,bad_bills_daily_update
139,HB 369,"Diedre, You're Fired",Committee 1,2025-02-07,18,bad_bills_daily_update
140,HB 178,CHIPping Away at Coverage,Rules 1,2025-01-21,1,bad_bills_daily_update
141,HB 233,"The Birds, The Bees and The Ban",Committee 1,,0,bad_bills_daily_update
142,HB 233,"The Birds, The Bees and The Ban",Rules 1,2025-02-03,14,bad_bills_daily_update
143,HB 233,"The Birds, The Bees and The Ban",Floor Vote 1.1,2025-02-13,24,bad_bills_daily_update
144,HB 233,"The Birds, The Bees and The Ban",Floor Vote 1.2,,0,bad_bills_daily_update
145,HB 233,"The Birds, The Bees and The Ban",Floor Vote 1.3,,0,bad_bills_daily_update
146,HB 233,"The Birds, The Bees and The Ban",Rules 2,2025-02-21,32,bad_bills_daily_update
147,SB 102,This is Why Schools Can't Have Nice Things,Rules 1,,0,bad_bills_daily_update
148,SB 102,This is Why Schools Can't Have Nice Things,Committee 1,,0,bad_bills_daily_update
149,SB 102,This is Why Schools Can't Have Nice Things,Floor Vote 1.1,2025-02-03,14,bad_bills_daily_update
150,SB 102,This is Why Schools Can't Have Nice Things,Floor Vote 1.2,2025-02-18,29,bad_bills_daily_update
151,SB 102,This is Why Schools Can't Have Nice Things,Floor Vote 1.2,,0,bad_bills_daily_update
152,SB 102,This is Why Schools Can't Have Nice Things,Floor Vote 1.3,,0,bad_bills_daily_update
153,SB 102,This is Why Schools Can't Have Nice Things,Rules 2,2025-02-19,30,bad_bills_daily_update
154,SB 102,This is Why Schools Can't Have Nice Things,Committee 2,2025-02-21,32,bad_bills_daily_update
155,HB 355,Pit Happens,Rules 1,2025-02-03,14,bad_bills_daily_update
156,HB 355,Pit Happens,Committee 1,2025-02-10,21,bad_bills_daily_update
157,HB 355,Pit Happens,Floor Vote 1.1,2025-02-14,25,bad_bills_daily_update
158,HB 355,Pit Happens,Floor Vote 1.2,,0,bad_bills_daily_update
159,HB 355,Pit Happens,Floor Vote 1.3,2025-02-21,32,bad_bills_daily_update
160,HB 209,"Trust Us, We're Parents",Rules 1,,0,bad_bills_daily_update
161,HB 209,"Trust Us, We're Parents",Committee 1,,0,bad_bills_daily_update
162,HB 209,"Trust Us, We're Parents",Floor Vote 1.1,2025-02-03,14,bad_bills_daily_update
163,HB 209,"Trust Us, We're Parents",Floor Vote 1.2,,0,bad_bills_daily_update
164,HB 209,"Trust Us, We're Parents",Floor Vote 1.3,,0,bad_bills_daily_update
165,HB 209,"Trust Us, We're Parents",Rules 2,2025-02-06,17,bad_bills_daily_update
166,HB 209,"Trust Us, We're Parents",Committee 2,2025-02-18,29,bad_bills_daily_update
167,HB 209,"Trust Us, We're Parents",Floor Vote 2.1,2025-02-19,30,bad_bills_daily_update
168,HB 209,"Trust Us, We're Parents",Floor Vote 2.2,2025-02-20,31,bad_bills_daily_update
169,HB 84,No Vax in MY Salad,Rules 1,,0,bad_bills_daily_update
170,HB 84,No Vax in MY Salad,Committee 1,,0,bad_bills_daily_update
171,HB 84,No Vax in MY Salad,Floor Vote 1.1,2025-02-03,14,bad_bills_daily_update
172,HB 84,No Vax in MY Salad,Floor Vote 1.2,,0,bad_bills_daily_update
173,HB 84,No Vax in MY Salad,Floor Vote 1.3,,0,bad_bills_daily_update
174,HB 84,No Vax in MY Salad,Rules 2,2025-02-10,21,bad_bills_daily_update
175,HB 84,No Vax in MY Salad,Committee 2,,0,bad_bills_daily_update
176,HB 84,No Vax in MY Salad,Floor Vote 2.1,2025-02-19,30,bad_bills_daily_update
177,HB 265,"No History, No Humanities, No Problem",Rules 1,,0,bad_bills_daily_update
178,HB 265,"No History, No Humanities, No Problem",Committee 1,,0,bad_bills_daily_update
179,HB 265,"No History, No Humanities, No Problem",Floor Vote 1.1,,0,bad_bills_daily_update
180,HB 265,"No History, No Humanities, No Problem",Floor Vote 1.2,,0,bad_bills_daily_update
181,HB 265,"No History, No Humanities, No Problem",Floor Vote 1.3,2025-02-03,14,bad_bills_daily_update
182,HB 265,"No History, No Humanities, No Problem",Rules 2,2025-02-05,16,bad_bills_daily_update
183,HB 265,"No History, No Humanities, No Problem",Committee 2,2025-02-11,22,bad_bills_daily_update
184,HB 265,"No History, No Humanities, No Problem",Floor Vote 2.1,2025-02-19,30,bad_bills_daily_update
185,HB 226,ICE Age,Rules 1,,0,bad_bills_daily_update
186,HB 226,ICE Age,Committee 1,,0,bad_bills_daily_update
187,HB 226,ICE Age,Floor Vote 1.1,2025-02-05,16,bad_bills_daily_update
188,HB 226,ICE Age,Floor Vote 1.2,,0,bad_bills_daily_update
189,HB 226,ICE Age,Floor Vote 1.3,,0,bad_bills_daily_update
190,HB 226,ICE Age,Rules 2,2025-02-12,23,bad_bills_daily_update
191,HB 226,ICE Age,Committee 2,2025-02-21,32,bad_bills_daily_update
192,HB 401,Morality Police,Rules 1,2025-02-05,16,bad_bills_daily_update
193,HB 401,Morality Police,Committee 1,2025-02-14,25,bad_bills_daily_update
194,HB 281,"Wait, Call My Mom",Rules 1,,0,bad_bills_daily_update
195,HB 281,"Wait, Call My Mom",Committee 1,,0,bad_bills_daily_update
196,HB 281,"Wait, Call My Mom",Floor Vote 1.1,2025-02-05,16,bad_bills_daily_update
197,HB 281,"Wait, Call My Mom",Floor Vote 1.2,,0,bad_bills_daily_update
198,HB 281,"Wait, Call My Mom",Floor Vote 1.3,,0,bad_bills_daily_update
199,HB 281,"Wait, Call My Mom",Rules 2,2025-02-11,22,bad_bills_daily_update
200,HB 281,"Wait, Call My Mom",Committee 2,2025-02-21,32,bad_bills_daily_update
201,HB 290,"No Stopping, No Parking in Bike Lanes",Rules 1,,0,bad_bills_daily_update
202,HB 290,"No Stopping, No Parking in Bike Lanes",Committee 1,,0,bad_bills_daily_update
203,HB 290,"No Stopping, No Parking in Bike Lanes",Floor Vote 1.1,2025-02-06,17,bad_bills_daily_update
204,HB 290,"No Stopping, No Parking in Bike Lanes",Floor Vote 1.2,,0,bad_bills_daily_update
205,HB 290,"No Stopping, No Parking in Bike Lanes",Floor Vote 1.3,2025-02-11,22,bad_bills_daily_update
206,HB 290,"No Stopping, No Parking in Bike Lanes",Rules 2,2025-02-13,24,bad_bills_daily_update
207,HB 290,"No Stopping, No Parking in Bike Lanes",Committee 2,2025-02-18,29,bad_bills_daily_update
208,HB 290,"No Stopping, No Parking in Bike Lanes",Floor Vote 2.1,,0,bad_bills_daily_update
209,HB 290,"No Stopping, No Parking in Bike Lanes",Floor Vote 2.2,2025-02-20,31,bad_bills_daily_update
210,SB 114,Free State Park Access for Veterans,Rules 1,,0,bad_bills_daily_update
